id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
482,"Guards! Guards!","Terry Pratchett","Fantasy","English",1989,"Gollancz","A secret society summons a dragon to terrorize the city.",376,"dragons,police,humor",4.35,"UK",TRUE,"None","Adult",FALSE,,"978-0062225757"
483,"Going Postal","Terry Pratchett","Fantasy","English",2004,"Doubleday","A con man is forced to revitalize the city's failing postal service.",394,"humor,satire,discworld",4.39,"UK",TRUE,"Nebula Nominee","Adult",TRUE,2010,"978-0060502928"
484,"The Restaurant at the End of the Universe","Douglas Adams","Sci-Fi","English",1980,"Pan Books","The second book in the Hitchhiker's Guide series.",250,"humor,space,satire",4.21,"UK",TRUE,"None","Adult",TRUE,1981,"978-0345391810"
485,"The Long Way to a Small, Angry Planet","Becky Chambers","Sci-Fi","English",2014,"Self-published","A diverse crew of a tunneling ship works together to punch holes through space.",404,"space,lgbt,friendship",4.16,"USA",TRUE,"None","Adult",FALSE,,"978-0062473158"
486,"Gideon the Ninth","Tamsyn Muir","Sci-Fi","English",2019,"Tor.com","Lesbian necromancers explore a haunted gothic palace in space.",448,"necromancy,mystery,scifi",4.17,"New Zealand",TRUE,"Locus Award","Adult",FALSE,,"978-1250313195"
487,"The Fifth Season","N.K. Jemisin","Fantasy","English",2015,"Orbit","In a world plagued by seismic apocalypses, a mother searches for her kidnapped daughter.",468,"magic,earth,dystopia",4.29,"USA",TRUE,"Hugo Award","Adult",FALSE,,"978-0316229296"
488,"The Obelisk Gate","N.K. Jemisin","Fantasy","English",2016,"Orbit","The season grows worse as the moon approaches.",410,"magic,earth,sequel",4.32,"USA",TRUE,"Hugo Award","Adult",FALSE,,"978-0316229265"
489,"The Stone Sky","N.K. Jemisin","Fantasy","English",2017,"Orbit","The final struggle to determine the fate of the Stillness.",464,"magic,earth,finale",4.38,"USA",TRUE,"Hugo,Nebula","Adult",FALSE,,"978-0316229241"
490,"Children of Time","Adrian Tchaikovsky","Sci-Fi","English",2015,"Tor","A civilization of evolved spiders confronts the last remnants of humanity.",600,"evolution,space,spiders",4.27,"UK",TRUE,"Arthur C. Clarke Award","Adult",FALSE,,"978-0316452502"
491,"Recursion","Blake Crouch","Sci-Fi","English",2019,"Crown","A detective investigates a phenomenon where people have false memories of lives they never lived.",329,"memory,thriller,time",4.16,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-1524759780"
492,"Wool","Hugh Howey","Dystopian","English",2011,"Broad Reach","Humanity lives in a giant underground silo, and the outside world is deadly.",509,"post-apocalyptic,mystery,silo",4.22,"USA",TRUE,"None","Adult",TRUE,2023,"978-1476733951"
493,"Shift","Hugh Howey","Dystopian","English",2013,"Broad Reach","The prequel story of how the Silos were created.",579,"prequel,silo,scifi",4.07,"USA",TRUE,"None","Adult",FALSE,,"978-0544839663"
494,"Dust","Hugh Howey","Dystopian","English",2013,"Broad Reach","The conclusion to the Silo trilogy.",458,"finale,silo,scifi",4.13,"USA",TRUE,"None","Adult",FALSE,,"978-0544839557"
495,"Hidden Figures","Margot Lee Shetterly","Non-fiction","English",2016,"William Morrow","The story of the African-American women mathematicians who helped NASA win the space race.",368,"history,space,race",4.26,"USA",TRUE,"None","Adult",TRUE,2016,"978-0062363596"
496,"Killers of the Flower Moon","David Grann","History","English",2017,"Doubleday","The Osage murders and the birth of the FBI.",359,"crime,history,native american",4.10,"USA",TRUE,"Edgar Award","Adult",TRUE,2023,"978-0385534246"
497,"Devil in the White City","Erik Larson","History","English",2003,"Crown","The true story of the 1893 World's Fair and the serial killer H.H. Holmes.",447,"crime,history,architecture",3.99,"USA",TRUE,"Edgar Award","Adult",TRUE,2024,"978-0375725609"
498,"The Boys in the Boat","Daniel James Brown","History","English",2013,"Viking","Nine Americans and their epic quest for gold at the 1936 Berlin Olympics.",404,"sports,history,olympics",4.34,"USA",TRUE,"None","Adult",TRUE,2023,"978-0670025817"
499,"Shoe Dog","Phil Knight","Memoir","English",2016,"Scribner","A memoir by the creator of Nike.",400,"business,memoir,sports",4.47,"USA",TRUE,"None","Adult",FALSE,,"978-1501135910"
500,"Kitchen Confidential","Anthony Bourdain","Memoir","English",2000,"Bloomsbury","Adventures in the culinary underbelly.",312,"food,chef,memoir",4.08,"USA",TRUE,"None","Adult",FALSE,,"978-1582340821"
501,"Six of Crows","Leigh Bardugo","Fantasy","English",2015,"Henry Holt","A crew of dangerous outcasts attempts an impossible heist in the bustling hub of Ketterdam.",465,"magic,heist,young adult",4.49,"USA",TRUE,"None","Young Adult",FALSE,,"978-1627792127"
502,"Shadow and Bone","Leigh Bardugo","Fantasy","English",2012,"Henry Holt","An orphan girl discovers a power that could save her country from the shadow monsters.",358,"magic,russia,romance",3.90,"USA",TRUE,"None","Young Adult",TRUE,2021,"978-0805094596"
503,"The Cruel Prince","Holly Black","Fantasy","English",2018,"Little, Brown","A mortal girl fights for power and survival in the treacherous High Court of Faerie.",370,"fae,politics,enemies to lovers",4.06,"USA",TRUE,"Goodreads Choice Nominee","Young Adult",FALSE,,"978-0316310277"
504,"Cinder","Marissa Meyer","Sci-Fi","English",2012,"Feiwel & Friends","A cyborg mechanic in New Beijing gets caught up in intergalactic politics and a forbidden romance.",390,"retelling,cyborg,cinderella",4.15,"USA",TRUE,"None","Young Adult",FALSE,,"978-0312641894"
505,"The Invisible Life of Addie LaRue","V.E. Schwab","Fantasy","English",2020,"Tor Books","A woman makes a Faustian bargain to live forever but is cursed to be forgotten by everyone she meets.",444,"magic,history,romance",4.19,"USA",TRUE,"Locus Nominee","Adult",FALSE,,"978-0765387561"
506,"A Darker Shade of Magic","V.E. Schwab","Fantasy","English",2015,"Tor Books","A magician travels between parallel Londons: Grey, Red, White, and Black.",400,"magic,london,adventure",4.05,"USA",TRUE,"None","Adult",FALSE,,"978-0765376459"
507,"The Haunting of Hill House","Shirley Jackson","Horror","English",1959,"Viking","Four seekers arrive at a notoriously unfriendly pile called Hill House.",182,"ghosts,psychology,classic",3.83,"USA",TRUE,"National Book Award Nominee","Adult",TRUE,1963,"978-0143039983"
508,"We Have Always Lived in the Castle","Shirley Jackson","Gothic","English",1962,"Viking","Merricat Blackwood lives in isolation with her sister and uncle after a family tragedy.",146,"mystery,classic,dark",3.99,"USA",TRUE,"None","Adult",TRUE,2018,"978-0143129431"
509,"Bird Box","Josh Malerman","Horror","English",2014,"Ecco","Something is out there that must not be seen, one glimpse drives a person to deadly violence.",262,"apocalypse,thriller,survival",4.01,"USA",TRUE,"Bram Stoker Award Nominee","Adult",TRUE,2018,"978-0062259653"
510,"World War Z","Max Brooks","Horror","English",2006,"Crown","An oral history of the zombie war that nearly destroyed humanity.",342,"zombies,war,politics",4.01,"USA",TRUE,"None","Adult",TRUE,2013,"978-0307346605"
511,"1Q84","Haruki Murakami","Magical Realism","Japanese",2009,"Shinchosha","A woman enters a parallel existence while a writer takes on a dangerous project.",925,"japan,surreal,dystopia",3.92,"Japan",TRUE,"Goodreads Choice Nominee","Adult",FALSE,,"978-0307593313"
512,"The Wind-Up Bird Chronicle","Haruki Murakami","Magical Realism","Japanese",1994,"Shinchosha","A man searches for his missing wife and cat in a netherworld beneath Tokyo.",607,"japan,mystery,surreal",4.17,"Japan",TRUE,"Yomiuri Prize","Adult",FALSE,,"978-0679775430"
513,"Battle Royale","Koushun Takami","Thriller","Japanese",1999,"Ohta","Junior high students are forced to fight to the death on an island.",617,"dystopia,violence,japan",4.23,"Japan",TRUE,"None","Adult",TRUE,2000,"978-1421527727"
514,"The Vegetarian","Han Kang","Fiction","Korean",2007,"Changbi","A woman's decision to stop eating meat has devastating consequences for her family.",188,"korea,surreal,dark",3.63,"South Korea",TRUE,"Man Booker International","Adult",TRUE,2009,"978-1101980385"
515,"Kim Jiyoung, Born 1982","Cho Nam-Joo","Fiction","Korean",2016,"Minumsa","The life story of an ordinary woman highlighting systemic sexism in South Korea.",163,"feminism,korea,society",3.77,"South Korea",TRUE,"None","Adult",TRUE,2019,"978-1631496707"
516,"Before the Coffee Gets Cold","Toshikazu Kawaguchi","Magical Realism","Japanese",2015,"Sunmark","A cafe offers customers the chance to travel back in time, but only until their coffee gets cold.",213,"time travel,japan,heartwarming",3.67,"Japan",TRUE,"None","Adult",TRUE,2018,"978-1335430991"
517,"Convenience Store Woman","Sayaka Murata","Fiction","Japanese",2016,"Bungeishunju","A woman finds purpose and stability working in a convenience store for 18 years.",163,"japan,society,humor",3.73,"Japan",TRUE,"Akutagawa Prize","Adult",FALSE,,"978-0802128256"
518,"A Little Life","Hanya Yanagihara","Drama","English",2015,"Doubleday","The tragic and traumatic life of Jude St. Francis and his three college friends.",720,"trauma,friendship,sad",4.31,"USA",TRUE,"Booker Prize Shortlist","Adult",FALSE,,"978-0385539258"
519,"My Year of Rest and Relaxation","Ottessa Moshfegh","Satire","English",2018,"Penguin","A young woman attempts to sleep for a year to reset her life.",289,"depression,satire,new york",3.67,"USA",TRUE,"None","Adult",FALSE,,"978-0525522119"
520,"The Phantom of the Opera","Gaston Leroux","Gothic","French",1910,"Pierre Lafitte","A mysterious figure haunts the Paris Opera House and falls for a young soprano.",192,"classic,romance,horror",3.96,"France",TRUE,"None","Adult",TRUE,2004,"978-0060809249"
521,"The Plague","Albert Camus","Philosophy","French",1947,"Gallimard","The town of Oran is quarantined due to a bubonic plague outbreak.",308,"existentialism,disease,classic",3.99,"France",TRUE,"None","Adult",TRUE,1992,"978-0679720218"
522,"All Quiet on the Western Front","Erich Maria Remarque","War","German",1929,"Propyläen","The physical and mental stress of German soldiers during WWI.",296,"war,classic,tragedy",3.96,"Germany",TRUE,"None","Adult",TRUE,1930,"978-0449213940"
523,"A Fine Balance","Rohinton Mistry","Historical Fiction","English",1995,"McClelland and Stewart","Four strangers are thrust together in an apartment during the Emergency in India.",603,"india,history,tragedy",4.37,"Canada",TRUE,"Giller Prize","Adult",FALSE,,"978-1400030651"
524,"The Namesake","Jhumpa Lahiri","Fiction","English",2003,"Houghton Mifflin","A boy named Gogol navigates his identity as an Indian-American.",291,"identity,family,immigration",3.98,"USA",TRUE,"None","Adult",TRUE,2006,"978-0395927212"
525,"And the Mountains Echoed","Khaled Hosseini","Fiction","English",2013,"Riverhead","A multi-generational family story spanning from Kabul to Paris and San Francisco.",404,"family,afghanistan,connection",4.04,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-1594631764"
526,"Reading Lolita in Tehran","Azar Nafisi","Memoir","English",2003,"Random House","A teacher secretly discusses forbidden Western classics with her female students in Iran.",356,"memoir,books,iran",3.77,"Iran",TRUE,"None","Adult",FALSE,,"978-0812973440"
527,"Mrs. Dalloway","Virginia Woolf","Modernist","English",1925,"Hogarth Press","Clarissa Dalloway prepares for a party in London while grappling with her past choices.",194,"classic,stream of consciousness,london",3.80,"UK",TRUE,"None","Adult",TRUE,1997,"978-0156628709"
528,"To the Lighthouse","Virginia Woolf","Modernist","English",1927,"Hogarth Press","The Ramsay family visits the Isle of Skye between 1910 and 1920.",209,"classic,time,family",3.78,"UK",TRUE,"None","Adult",TRUE,1983,"978-0156907392"
529,"A Room of One's Own","Virginia Woolf","Feminist Non-fiction","English",1929,"Hogarth Press","An extended essay arguing that women need financial independence to write fiction.",112,"feminism,classic,essays",4.16,"UK",TRUE,"None","Adult",FALSE,,"978-0156030410"
530,"On the Road","Jack Kerouac","Beat","English",1957,"Viking Press","Sal Paradise and Dean Moriarty travel across America in search of meaning.",307,"travel,beat generation,classic",3.62,"USA",TRUE,"None","Adult",TRUE,2012,"978-0140283299"
531,"Giovanni's Room","James Baldwin","Fiction","English",1956,"Dial Press","An American man in Paris struggles with his identity and a relationship with an Italian bartender.",169,"lgbt,classic,paris",4.32,"USA",TRUE,"None","Adult",FALSE,,"978-0345806567"
532,"Call Me by Your Name","André Aciman","Romance","English",2007,"Farrar, Straus and Giroux","A romance blossoms between a 17-year-old boy and a summer guest at his parents' cliffside mansion.",248,"lgbt,romance,italy",4.13,"USA",TRUE,"Lambda Literary Award","Adult",TRUE,2017,"978-0312426781"
533,"Less","Andrew Sean Greer","Satire","English",2017,"Lee Boudreaux","A failed novelist travels the world to avoid attending his ex-boyfriend's wedding.",261,"humor,travel,lgbt",3.76,"USA",TRUE,"Pulitzer Prize","Adult",FALSE,,"978-0316316125"
534,"The Sympathizer","Viet Thanh Nguyen","Historical Fiction","English",2015,"Grove Press","A half-French, half-Vietnamese army captain is a spy for the communists during the Vietnam War.",371,"war,spy,vietnam",3.97,"USA",TRUE,"Pulitzer Prize","Adult",TRUE,2024,"978-0802123459"
535,"The Overstory","Richard Powers","Fiction","English",2018,"W. W. Norton","Nine strangers are summoned by trees to address the destruction of forests.",502,"nature,trees,epic",4.13,"USA",TRUE,"Pulitzer Prize","Adult",FALSE,,"978-0393635522"
536,"Trust","Hernan Diaz","Historical Fiction","English",2022,"Riverhead","A novel within a novel about a Wall Street tycoon and the reality behind the myth.",402,"money,history,mystery",3.91,"USA",TRUE,"Pulitzer Prize","Adult",FALSE,,"978-0593420317"
537,"Demon Copperhead","Barbara Kingsolver","Fiction","English",2022,"Harper","A modern retelling of David Copperfield set in Appalachia during the opioid crisis.",546,"poverty,addiction,coming-of-age",4.53,"USA",TRUE,"Pulitzer Prize","Adult",FALSE,,"978-0063251922"
538,"The Poisonwood Bible","Barbara Kingsolver","Historical Fiction","English",1998,"HarperFlamingo","A missionary family moves to the Belgian Congo in 1959.",546,"africa,religion,family",4.07,"USA",TRUE,"Book Sense Book of the Year","Adult",FALSE,,"978-0060930530"
539,"Cloud Cuckoo Land","Anthony Doerr","Sci-Fi","English",2021,"Scribner","Five characters across time are connected by a single ancient Greek text.",626,"books,history,time",4.29,"USA",TRUE,"None","Adult",FALSE,,"978-1982168438"
540,"Hamnet","Maggie O'Farrell","Historical Fiction","English",2020,"Tinder Press","A fictional account of Shakespeare's son, Hamnet, who died at age 11.",372,"history,grief,family",4.22,"UK",TRUE,"Women's Prize for Fiction","Adult",FALSE,,"978-0525657606"
541,"Lincoln in the Bardo","George Saunders","Historical Fiction","English",2017,"Random House","President Lincoln visits the grave of his son Willie in a graveyard full of ghosts.",343,"ghosts,history,experimental",3.73,"USA",TRUE,"Booker Prize","Adult",FALSE,,"978-0812995343"
542,"The Underground Railroad","Colson Whitehead","Historical Fiction","English",2016,"Doubleday","Cora escapes slavery using a literal underground railroad system.",306,"history,slavery,surreal",4.03,"USA",TRUE,"Pulitzer Prize,National Book Award","Adult",TRUE,2021,"978-0385542364"
543,"The Nickel Boys","Colson Whitehead","Historical Fiction","English",2019,"Doubleday","Two boys are sent to a brutal reform school in Jim Crow-era Florida.",213,"history,racism,tragedy",4.07,"USA",TRUE,"Pulitzer Prize","Adult",FALSE,,"978-0385537070"
544,"Gilead","Marilynne Robinson","Fiction","English",2004,"Farrar, Straus and Giroux","An elderly pastor writes a letter to his young son about his life and faith.",247,"religion,family,classic",3.85,"USA",TRUE,"Pulitzer Prize","Adult",FALSE,,"978-0312424404"
545,"Olive Kitteridge","Elizabeth Strout","Fiction","English",2008,"Random House","Stories about a retired schoolteacher in a small town in Maine.",270,"drama,short stories,maine",3.81,"USA",TRUE,"Pulitzer Prize","Adult",TRUE,2014,"978-1400062089"
546,"The Husband's Secret","Liane Moriarty","Mystery","English",2013,"Pan Macmillan","A woman finds a letter from her husband to be opened only in the event of his death.",396,"secrets,mystery,australia",3.94,"Australia",TRUE,"None","Adult",FALSE,,"978-1405911665"
547,"The Guest List","Lucy Foley","Thriller","English",2020,"William Morrow","A wedding on a remote Irish island turns deadly.",313,"mystery,island,crime",3.83,"UK",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0062868930"
548,"In the Woods","Tana French","Mystery","English",2007,"Viking","Detectives investigate a murder in a wood where children disappeared twenty years earlier.",429,"crime,ireland,detective",3.77,"Ireland",TRUE,"Edgar Award","Adult",TRUE,2019,"978-0143113492"
549,"The Thirteenth Tale","Diane Setterfield","Gothic","English",2006,"Orion","A dying author asks a biographer to write her life story, revealing dark secrets.",406,"mystery,gothic,books",4.05,"UK",TRUE,"None","Adult",TRUE,2013,"978-0743298025"
550,"My Cousin Rachel","Daphne du Maurier","Mystery","English",1951,"Gollancz","Philip falls in love with his cousin Rachel, whom he suspects of murdering his guardian.",352,"mystery,romance,classic",3.94,"UK",TRUE,"None","Adult",TRUE,2017,"978-0316251266"
551,"The Firm","John Grisham","Thriller","English",1991,"Doubleday","A young lawyer joins a prestigious firm only to discover it operates as a front for the Chicago Mob.",421,"legal,thriller,crime",3.95,"USA",TRUE,"None","Adult",TRUE,1993,"978-0385416344"
552,"A Time to Kill","John Grisham","Thriller","English",1989,"Wynwood Press","A father takes the law into his own hands after his daughter is brutally assaulted.",515,"legal,crime,south",4.06,"USA",TRUE,"None","Adult",TRUE,1996,"978-0440245919"
553,"The Pelican Brief","John Grisham","Thriller","English",1992,"Doubleday","A law student uncovers a conspiracy connecting the assassinations of two Supreme Court justices.",371,"legal,conspiracy,suspense",3.92,"USA",TRUE,"None","Adult",TRUE,1993,"978-0440245933"
554,"Killing Floor","Lee Child","Thriller","English",1997,"Putnam","Jack Reacher is arrested for murder in a small Georgia town he just drifted into.",524,"action,mystery,crime",4.06,"USA",TRUE,"Anthony Award","Adult",TRUE,2022,"978-0515123448"
555,"Red Dragon","Thomas Harris","Thriller","English",1981,"Putnam","FBI profiler Will Graham returns to service to hunt a serial killer known as the Tooth Fairy.",348,"horror,crime,psychology",4.24,"USA",TRUE,"None","Adult",TRUE,2002,"978-0440206156"
556,"Hannibal","Thomas Harris","Thriller","English",1999,"Delacorte","Seven years after escaping custody, Dr. Hannibal Lecter is hunted by a victim who survived.",484,"horror,crime,cannibalism",3.73,"USA",TRUE,"None","Adult",TRUE,2001,"978-0385299295"
557,"The Talented Mr. Ripley","Patricia Highsmith","Thriller","English",1955,"Coward-McCann","A con artist is sent to Italy to retrieve a wealthy man's son but decides to take his place instead.",288,"crime,psychology,italy",3.96,"USA",TRUE,"Edgar Award Nominee","Adult",TRUE,1999,"978-0393332148"
558,"Strangers on a Train","Patricia Highsmith","Thriller","English",1950,"Harper & Brothers","Two strangers meet on a train and joke about swapping murders.",256,"crime,noir,suspense",3.94,"USA",TRUE,"None","Adult",TRUE,1951,"978-0393321982"
559,"The Postman Always Rings Twice","James M. Cain","Crime","English",1934,"Knopf","A drifter and a dissatisfaction wife plot to murder her husband.",116,"noir,crime,classic",3.90,"USA",TRUE,"None","Adult",TRUE,1981,"978-0679723257"
560,"Double Indemnity","James M. Cain","Crime","English",1943,"Knopf","An insurance agent and a femme fatale plot to kill her husband for the insurance money.",115,"noir,crime,classic",4.11,"USA",TRUE,"None","Adult",TRUE,1944,"978-0679723226"
561,"L.A. Confidential","James Ellroy","Crime","English",1990,"Mysterious Press","Three LAPD detectives become entangled in the corruption of 1950s Los Angeles.",496,"noir,police,corruption",4.28,"USA",TRUE,"None","Adult",TRUE,1997,"978-0446674249"
562,"The Black Dahlia","James Ellroy","Crime","English",1987,"Mysterious Press","Two detectives investigate the brutal murder of Elizabeth Short in 1947 Los Angeles.",348,"noir,history,murder",3.92,"USA",TRUE,"None","Adult",TRUE,2006,"978-0446618120"
563,"The Exorcist","William Peter Blatty","Horror","English",1971,"Harper & Row","A mother seeks the help of two priests to save her daughter from demonic possession.",385,"horror,demon,classic",4.18,"USA",TRUE,"None","Adult",TRUE,1973,"978-0061007224"
564,"Rosemary's Baby","Ira Levin","Horror","English",1967,"Random House","A young pregnant woman suspects her neighbors have sinister plans for her baby.",308,"horror,cult,nyc",4.09,"USA",TRUE,"None","Adult",TRUE,1968,"978-1605981109"
565,"The Stepford Wives","Ira Levin","Satire","English",1972,"Random House","A woman moves to a town where the wives are suspiciously perfect and submissive.",144,"horror,satire,feminism",3.77,"USA",TRUE,"None","Adult",TRUE,2004,"978-0060080843"
566,"Psycho","Robert Bloch","Horror","English",1959,"Simon & Schuster","A young woman on the run checks into a motel run by the disturbed Norman Bates.",176,"horror,thriller,classic",4.15,"USA",TRUE,"None","Adult",TRUE,1960,"978-0879518325"
567,"Jaws","Peter Benchley","Thriller","English",1974,"Doubleday","A giant great white shark terrorizes a resort town.",320,"horror,shark,summer",3.96,"USA",TRUE,"None","Adult",TRUE,1975,"978-0345544148"
568,"Assassin's Apprentice","Robin Hobb","Fantasy","English",1995,"Bantam Spectra","A royal bastard is trained as an assassin in a kingdom threatened by raiders.",435,"magic,epic,growing up",4.16,"USA",TRUE,"None","Adult",FALSE,,"978-0553573398"
569,"Royal Assassin","Robin Hobb","Fantasy","English",1996,"Bantam Spectra","FitzChivalry Farseer returns to court to protect the kingdom from within.",675,"magic,intrigue,epic",4.23,"USA",TRUE,"None","Adult",FALSE,,"978-0553573411"
570,"The Blade Itself","Joe Abercrombie","Fantasy","English",2006,"Gollancz","A barbarian, an officer, and a torturer are drawn into a dark war.",515,"grimdark,war,character",4.16,"UK",TRUE,"None","Adult",FALSE,,"978-0575079793"
571,"Before They Are Hanged","Joe Abercrombie","Fantasy","English",2007,"Gollancz","The Union is at war, and its champions are sent on a desperate quest.",539,"grimdark,epic,war",4.24,"UK",TRUE,"None","Adult",FALSE,,"978-0575077874"
572,"The Lies of Locke Lamora","Scott Lynch","Fantasy","English",2006,"Gollancz","A group of con artists called the Gentleman Bastards pull off heists in a fantasy city.",499,"heist,magic,humor",4.30,"USA",TRUE,"None","Adult",FALSE,,"978-0553588941"
573,"The Black Company","Glen Cook","Fantasy","English",1984,"Tor Books","The annals of an elite mercenary unit hired by a powerful sorceress.",319,"grimdark,war,classic",3.98,"USA",TRUE,"None","Adult",FALSE,,"978-0812521399"
574,"Gardens of the Moon","Steven Erikson","Fantasy","English",1999,"Bantam","The Malazan Empire wages war against the free cities, involving gods and magic.",712,"epic,complex,war",3.88,"Canada",TRUE,"None","Adult",FALSE,,"978-0553819571"
575,"The Poppy War","R.F. Kuang","Fantasy","English",2018,"Harper Voyager","A war orphan enters a military academy and discovers she has shamanic powers.",530,"war,magic,grimdark",4.06,"China",TRUE,"Crawford Award","Adult",FALSE,,"978-0062662569"
576,"Babel","R.F. Kuang","Fantasy","English",2022,"Harper Voyager","A student at Oxford's translation institute uncovers the dark side of the empire's magic.",544,"dark academia,magic,history",4.18,"UK",TRUE,"Nebula Award","Adult",FALSE,,"978-0063021426"
577,"Yellowface","R.F. Kuang","Satire","English",2023,"William Morrow","A writer steals her dead friend's manuscript and passes it off as her own.",336,"publishing,satire,thriller",3.85,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0063250833"
578,"Tomorrow, and Tomorrow, and Tomorrow","Gabrielle Zevin","Fiction","English",2022,"Knopf","Two childhood friends become creative partners in the world of video game design.",401,"gaming,friendship,love",4.19,"USA",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0593321201"
579,"Bunny","Mona Awad","Horror","English",2019,"Viking","A lonely MFA student is drawn into a cult-like clique of girls.",304,"dark academia,surreal,horror",3.60,"USA",TRUE,"Goodreads Choice Nominee","Adult",FALSE,,"978-0525559733"
580,"Mexican Gothic","Silvia Moreno-Garcia","Horror","English",2020,"Del Rey","A woman investigates her cousin's claims that her husband is trying to kill her.",301,"gothic,horror,mexico",3.65,"Mexico",TRUE,"Locus Award","Adult",FALSE,,"978-0525620785"
581,"The House in the Cerulean Sea","TJ Klune","Fantasy","English",2020,"Tor","A caseworker is sent to evaluate an orphanage for magical children.",394,"magic,wholesome,lgbt",4.45,"USA",TRUE,"Alex Award","Adult",FALSE,,"978-1250217288"
582,"Sea of Tranquility","Emily St. John Mandel","Sci-Fi","English",2022,"Knopf","A novel of art, time, love, and plague that takes the reader from 1912 to the future.",255,"time travel,pandemic,scifi",4.16,"Canada",TRUE,"Goodreads Choice Award","Adult",FALSE,,"978-0593321447"
583,"Piranesi","Susanna Clarke","Fantasy","English",2020,"Bloomsbury","A man lives in a house of infinite halls and tides, recording his observations.",245,"mystery,magic,philosophy",4.23,"UK",TRUE,"Women's Prize for Fiction","Adult",FALSE,,"978-1635575637"
584,"Jonathan Strange & Mr Norrell","Susanna Clarke","Fantasy","English",2004,"Bloomsbury","Two magicians bring magic back to 19th-century England.",782,"magic,history,classic style",3.83,"UK",TRUE,"Hugo Award","Adult",TRUE,2015,"978-0765356154"
585,"Klara and the Sun","Kazuo Ishiguro","Sci-Fi","English",2021,"Faber & Faber","An Artificial Friend observes the world and hopes to be chosen by a child.",303,"ai,philosophy,future",3.74,"UK",TRUE,"Booker Prize Longlist","Adult",FALSE,,"978-0593318171"
586,"The Buried Giant","Kazuo Ishiguro","Fantasy","English",2015,"Faber & Faber","An elderly couple sets off across a mist-shrouded Britain to find their son.",317,"memory,fantasy,arthurian",3.53,"UK",TRUE,"None","Adult",FALSE,,"978-0307271037"
587,"Saturday","Ian McEwan","Fiction","English",2005,"Jonathan Cape","A neurosurgeon's life changes over the course of a single day in London.",289,"london,realism,post-9/11",3.54,"UK",TRUE,"James Tait Black Prize","Adult",FALSE,,"978-1400076192"
588,"The English Patient","Michael Ondaatje","Historical Fiction","English",1992,"McClelland and Stewart","Four damaged people come together in an Italian monastery at the end of WWII.",320,"war,romance,history",3.85,"Canada",TRUE,"Booker Prize","Adult",TRUE,1996,"978-0679745204"
589,"Possession","A.S. Byatt","Romance","English",1990,"Chatto & Windus","Two modern academics uncover a secret affair between two Victorian poets.",555,"mystery,romance,literary",3.83,"UK",TRUE,"Booker Prize","Adult",TRUE,2002,"978-0679735908"
590,"The Satanic Verses","Salman Rushdie","Magical Realism","English",1988,"Viking","Two men survive a plane explosion and undergo strange transformations.",561,"religion,controversial,surreal",3.67,"UK",TRUE,"Whitbread Award","Adult",FALSE,,"978-0812976717"
591,"The Lost Symbol","Dan Brown","Thriller","English",2009,"Doubleday","Robert Langdon is summoned to Washington D.C. to decode Masonic secrets.",509,"mystery,history,freemasons",3.74,"USA",TRUE,"None","Adult",TRUE,2021,"978-0385504225"
592,"Ghostwritten","David Mitchell","Fiction","English",1999,"Sceptre","Nine intertwining stories set in different parts of the globe.",426,"travel,connection,complex",4.06,"UK",TRUE,"John Llewellyn Rhys Prize","Adult",FALSE,,"978-0375724503"
593,"The Bone Clocks","David Mitchell","Fantasy","English",2014,"Sceptre","A runaway teenager is drawn into a psychic war between immortals.",624,"fantasy,time,complex",3.82,"UK",TRUE,"World Fantasy Award","Adult",FALSE,,"978-1400065677"
594,"Black Swan Green","David Mitchell","Coming-of-age","English",2006,"Sceptre","A year in the life of a thirteen-year-old boy in 1980s England.",294,"growing up,80s,semi-autobiographical",4.03,"UK",TRUE,"None","Adult",FALSE,,"978-0812974010"
595,"House of Leaves","Mark Z. Danielewski","Horror","English",2000,"Pantheon","A family moves into a house that is bigger on the inside than on the outside.",709,"horror,experimental,complex",4.08,"USA",TRUE,"None","Adult",FALSE,,"978-0375420528"
596,"Brief Interviews with Hideous Men","David Foster Wallace","Short Stories","English",1999,"Little, Brown","A collection of short stories exploring male psychology and modern alienation.",273,"psychology,dark,experimental",3.89,"USA",TRUE,"None","Adult",TRUE,2009,"978-0316086899"
597,"A Confederacy of Dunces","John Kennedy Toole","Satire","English",1980,"LSU Press","The misadventures of Ignatius J. Reilly in New Orleans.",394,"humor,classic,picaresque",3.88,"USA",TRUE,"Pulitzer Prize","Adult",FALSE,,"978-0802130204"
598,"The Heart is a Lonely Hunter","Carson McCullers","Southern Gothic","English",1940,"Houghton Mifflin","A deaf-mute man becomes the confidant for misfits in a Georgia mill town.",359,"loneliness,classic,south",4.04,"USA",TRUE,"None","Adult",TRUE,1968,"978-0618526413"
